question,answer
"상품 반품은 어떻게 하나요?","홈페이지 '마이페이지 > 주문 내역'에서 반품 신청이 가능하며, 상품 수령 후 7일 이내에 접수해야 합니다."
"배송비는 얼마인가요?","기본 배송비는 3,000원이며, 50,000원 이상 구매 시 무료 배송입니다."
"회원가입은 어떻게 하나요?","홈페이지 우측 상단의 '회원가입' 버튼을 통해 약관 동의 및 정보 입력을 하시면 가입이 완료됩니다."
"단순 변심으로 인한 반품 시 배송비는 누가 부담하나요?","단순 변심으로 인한 반품의 경우, 왕복 배송비는 고객님께서 부담하셔야 합니다."
"주문한 상품의 배송 현황을 알고 싶어요.","로그인 후 '마이페이지 > 주문/배송 조회' 메뉴에서 실시간 배송 현황을 확인하실 수 있습니다."
"회원 ID와 비밀번호를 잊어버렸어요.","로그인 페이지 하단의 '아이디/비밀번호 찾기' 기능을 이용해 본인인증 후 찾을 수 있습니다."
"결제 수단에는 어떤 것들이 있나요?","신용카드, 무통장 입금, 계좌 이체, 휴대폰 소액결제 등 다양한 결제 수단을 이용하실 수 있습니다."
"쿠폰은 어떻게 사용하나요?","주문서 작성 페이지에서 '쿠폰 적용' 버튼을 눌러 보유하신 쿠폰을 선택하여 사용하실 수 있습니다."
"품절된 상품은 언제 다시 입고되나요?","상품 상세 페이지의 '재입고 알림 신청'을 해주시면, 상품 입고 시 가장 먼저 문자로 알려드립니다. 정확한 입고일은 상품마다 다릅니다."
"주문 취소는 어떻게 하나요?","'결제 완료' 상태에서는 '마이페이지'에서 직접 취소가 가능하지만, '상품 준비중' 상태부터는 고객센터로 연락주셔야 합니다."
"적립금은 어떻게 사용하나요?","적립금은 1,000원 이상부터 현금처럼 사용 가능하며, 주문서 작성 시 사용하실 금액을 직접 입력하시면 됩니다."
"해외 배송도 가능한가요?","죄송하지만, 현재 저희 서비스는 국내 배송만 지원하고 있습니다. 향후 해외 배송 서비스를 준비 중입니다."
"세금계산서나 현금영수증 발급이 가능한가요?","네, 결제 과정에서 '증빙서류 신청'란에 정보를 입력하시면 결제 완료 후 자동으로 발급됩니다."
"상품의 A/S 정책은 어떻게 되나요?","전자제품의 경우 구매일로부터 1년간 무상 A/S를 지원하며, 고객 과실의 경우 유상으로 처리될 수 있습니다. 자세한 내용은 보증서를 참고해주세요."
"탈퇴는 어떻게 하나요?","로그인 후 '마이페이지 > 회원 정보 수정' 페이지 하단의 '회원 탈퇴' 버튼을 통해 진행하실 수 있습니다. 탈퇴 시 모든 쿠폰과 적립금은 소멸됩니다."